F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
185.58,-7253.69,4,10.1,-614.88,USA,4617.58,12.78,Medium,60.48,83.01,-192.5,6150.75,-139.92,-6.86,4804.65,3004.14,-1785.06,-2238.82,1191.14,5.28,-915.1,6.42,-27.49,69.38,36.06,-46.94,-18867.09,-709.06,5664.96,4,2.26,-3,-21.5,-8.93
275.67,-9803.19,5,0.92,-200.56,Rest,4420.38,9.18,Low,69.42,59.73,-151.02,5770.29,-17.22,-6.95,4616.09,2121.06,-1571.48,-1244.88,637.6,1.17,-1642.16,4.78,-25.99,0.06,134.23,-25.14,1639.92,-462.39,3991.8,6,56.66,-6.9,-41.73,-8.93
241.38,-7239.49,5,5.44,-581.95,Rest,3439.04,24.78,Medium,102.12,61.14,-196.38,5300.22,-158.4,-3.62,3532.25,2751.9,-1991.54,-2310.76,464.44,-2.85,-508.86,0.73,-32.68,0.02,123.15,-24.26,1796.13,-314.33,3882.51,6,68.05,-1.4,-72.66,589.48
598.11,-7520.48,6,3.68,-976.6,Rest,2782.2,32.58,Very high,68.85,54.78,-302.3,4344.24,-220.44,-12.28,-3594.79,1716.64,-2365.14,-1996.88,54.54,6.99,-947.62,1.93,-26.33,0.22,166.47,-18.3,-45246.81,-400.97,5940.3,7,19.06,13.14,-89.78,739.49
403.35,-6865.36,3,9.26,-194.73,USA,4214.14,8.94,Very high,68.79,60.87,-142.52,5577.3,-155.37,-16.34,2968.18,2740.92,-1610.06,-2299.4,-114.1,-1.98,-931.08,12.51,-31.69,0,120.76,-21.46,-9966.06,-381.61,5531.04,5,42.98,8.26,-35.41,-8.93
328.62,-13420.31,6,2.46,-436.18,UK,6380.54,27.12,Very low,61.23,60,-135.6,3754.95,-1.23,-5.81,-1839.16,1994.28,-1583.44,-1334.98,1180.08,2.1,-1181.66,1.42,-18.09,0.88,146.71,-23.02,3890.07,-414.66,3140.82,4,42.27,-4.42,-52.65,535.94
280.47,-14440.25,8,22.18,-239.69,USA,4829.34,14.52,Very high,58.98,66,-177.56,3211.11,-74.64,-12.71,-4635.39,1980.92,-1268.32,-2881.54,356.5,8.04,-648.4,5.96,-28.87,0,116.63,-22.22,-6724.2,-191.31,3330.6,6,38.82,3.64,-40.42,288.12
323.01,-11196.03,6,19.92,-646.15,USA,4978.14,13.23,Medium,77.34,61.98,-130.5,4404.33,-53.88,-13.13,-4142.54,2018.2,-1556.6,-2248.44,412.08,6.27,-506.54,1.45,-34.06,2.3,103.33,-19.5,-2320.86,-353.75,3604.2,1,38.44,-1.82,-124.88,473.04
359.91,-7495.49,5,4.94,335.91,Rest,3545.94,7.83,Low,55.26,55.47,-173.96,4152.72,-120.06,-9.15,4382.16,1504.9,-1232.66,-2988.16,563.48,-3.06,576.56,2.41,-26.29,0.04,122.78,-21.3,-4358.07,-189.4,2254.44,3,9.26,-11.64,-18.57,140.21
200.22,-15124.88,7,4.66,-633.51,USA,4741.88,17.31,Low,85.74,43.38,-182.06,5437.74,28.35,-4.53,6418.34,1211.34,-1280.22,-2253.4,1234.52,6.9,-815.5,2.76,-29.88,4200.64,52.22,-21.48,-5564.58,-141.48,2800.71,3,56.32,-2.38,-77.51,328.92
127.35,-4183.32,6,0.82,-261.23,Europe,5434.36,15.54,High,70.26,36.93,-165.2,4620.75,-144.15,-8.47,6450.68,2238.36,-1367.9,-1598.72,-344.64,10.02,-1418.38,9.06,-21,0.02,202.98,-38.9,16178.1,-343.59,5335.98,5,37.27,-1.96,-59.08,-8.93
467.19,-7579.75,4,13.88,-335.53,Europe,4670.6,8.73,Medium,66.06,64.29,-220.16,4759.62,-59.04,-11.26,3041.93,2019.34,-272.04,-2208.66,1436.68,-15.96,241.52,3.23,-28.03,111.94,73.82,-22.24,-6110.85,-186.75,6505.98,4,43.18,-5.52,-65.86,22.2
375,-9976.41,5,10.28,-89.14,Rest,3882.38,9.57,Medium,74.31,74.28,-282.2,2617.59,-61.2,-12.62,1820.56,1906.88,-2461.82,-1998.96,985.94,9.15,-564.76,1.87,-24.11,0,111.95,-28.88,-1600.74,-534.71,3382.92,5,89.78,-4.66,-136.48,228.55
238.14,-8657.59,2,5.04,-573.16,Rest,4095.6,10.05,Medium,80.49,46.65,-170.92,5200.89,-34.77,-10.19,1724.44,1707.9,-1460.1,-3052.18,1399.64,-0.06,402.58,3.01,-30.21,0.6,190.78,-28.8,-158.19,-624.11,6043.17,5,65.88,3.84,-58.73,-8.93
334.47,-6272.01,5,3.82,-212.17,UK,4715.58,17.73,High,68.25,67.89,-205.2,4552.02,-33.9,-8.08,7662.41,1851.84,-1907.6,-1566.88,899.52,30.09,301,1.74,-29.34,0.9,136.61,-17.38,-1089.12,-44.04,4092.42,4,58.24,2.94,-38.31,419.45
258.9,-11271.45,5,3.62,-474.84,UK,5139.96,15.36,Medium,56.79,63.75,-168.64,2783.55,-80.4,-12.83,542.35,1129.84,-2046.84,-1860.2,642,-2.19,-701.94,5.98,-25.34,0,118.63,-19.64,20655.99,-94.31,3677.79,4,57.36,-1.3,-108.96,102.5
575.67,-4514.2,5,3.32,-298.8,UK,3638.02,4.2,Very low,84.12,65.7,-146.66,3700.71,9.42,-7.04,991.89,2395.14,-1830.62,-749.22,1178.4,-3.18,-278.92,1.03,-30.22,1.28,74.73,-24.52,-3159.03,-348.18,5927.55,5,38.09,-4.28,-14.01,-8.93
306.51,-15402.37,7,10.48,-257.2,UK,3679.76,9.09,Medium,66.87,50.79,-276.66,3652.05,41.31,-10.8,4035.65,2312.8,-1217.2,-1210.82,1711.5,1.74,31.2,8.02,-29.65,0.66,142.04,-21.06,-22117.68,-529.1,4633.53,4,29.36,-8.94,-17.49,-8.93
316.11,-9392.16,6,2.64,106.39,USA,6631.4,16.44,Very high,70.8,65.01,-289.7,7122.9,39.54,-8.57,7821.42,1472.02,-1227.28,-871.06,2015.12,-16.17,-1101.16,3.35,-29.28,0.08,164.27,-24.34,-14332.86,-27.51,5830.05,2,67.2,-3.12,-44.73,392.72
346.77,-10385.16,6,2.72,-584.92,Rest,6143.96,-3.84,Very high,67.56,63.72,-178.78,4761.18,-143.22,-8.43,2543.53,1158,-1422.32,-963.52,964.48,3.12,-1012.48,8.29,-27.32,1.48,124.78,-21.06,-7547.94,-157.93,4837.14,1,35.91,-2.82,-76.03,66.45
396.96,-10512.5,1,12.4,-456.07,Europe,4334.4,26.22,Low,98.91,57.93,-234.74,5666.97,1.14,-9.44,2286.49,1834.78,-1491.8,-1722.18,-272.32,6.54,-972.88,7.43,-25.04,0.02,126.93,-18.4,7689.48,189.67,5516.07,7,54.57,-5.6,-5.98,-8.93
308.43,-9862.46,6,2.48,-307.8,USA,3268.2,5.1,Low,57.54,33.69,-223.9,5598.51,-161.19,-6.25,7677.6,1413.18,-1741.02,-2643.24,2636.9,3.18,-972.16,1.44,-27.13,43.14,133.78,-22.42,-885.99,-233.26,4931.22,5,51.75,-9.1,-27.35,71.12
278.25,-10732.91,7,7.18,-135.43,Rest,5463.46,15.6,Very high,50.85,66.09,-135.84,4569.39,58.35,-7.37,3281.74,1316.56,-1589.68,-1848.3,1099.04,-24,359.34,7.45,-30.62,0.38,126.86,-18.78,-9725.67,-223.66,3652.35,0,76.78,-13.06,-43.13,713.81
355.2,-7446.79,4,3.3,-373.55,Rest,3459.74,21.81,Very low,75.99,55.53,-149.02,5191.65,-189.96,-5.99,3733.24,1506.38,-1281.4,-2831.26,1053.02,24.24,-780.28,1.41,-22.9,13.28,89.79,-16.88,23027.91,-125.37,7715.28,5,72.15,-12.42,-40.59,180.09
393.87,-8659.79,4,9.8,-107.16,Europe,5259.86,10.29,Medium,45.39,45.87,-137.44,3513.69,-152.13,-5.19,-3381.16,2146.22,-1542.82,-1287.96,1717.04,14.28,-308.98,1.24,-36.65,0.62,115.53,-20.52,12127.53,-607.32,4712.97,5,106.94,-7.14,-5.67,76.07
420.81,-13253.58,4,7.98,-294.73,Rest,5172.52,12.06,Very high,65.13,85.83,-147.94,3264.45,-217.86,-11.2,1677.24,1343.72,-974.7,-1318.98,874.3,9.9,754.28,6.84,-35.65,0.38,72.98,-32.74,8699.52,-166.4,3062.13,4,24.63,-1.52,-40.74,136.9
233.13,-11545.87,2,2.92,-801.63,UK,4532.32,5.1,Very low,68.28,72.03,-159.48,4090.62,-17.13,-10.49,8680.48,1951.76,-1284.16,-2590.88,1663.24,4.08,-821.02,5.49,-31.75,0.08,113.76,-12.8,2252.94,-110.01,4374.93,4,88.66,-4.4,-69.6,-8.93
316.8,-7871.53,5,0.5,-79.67,Europe,1323,11.1,Very low,74.22,64.83,-289.88,2559.78,-106.02,-10.47,4675.71,2664.66,-839.78,-2059.56,578.22,-0.54,355.28,3.92,-23.79,1.52,100.87,-26.9,-1740.96,-148.27,5862.03,4,74.46,-0.26,-64.55,-4.26
348.27,-9181.31,2,5.96,-653.17,Rest,4412.68,18.15,Very low,96.6,15.45,-221.02,5329.2,-98.34,-8.89,1308.25,1057.28,-476.38,-1992.78,150.98,12.36,228.9,0.6,-29.68,0.02,108.57,-6.82,-13002.93,-175.01,5452.47,4,15.35,-1.18,-18.05,143.9
386.79,-12470.6,4,14.74,-117.69,USA,4363.92,6.15,Low,63.33,68.31,-343.8,4213.29,-180.03,-5.58,6261.65,1781.7,-1020.08,-2759.66,519,3.81,-325.08,6.5,-27.47,0.82,171.89,-25.76,4455.66,-552.98,5118.15,4,39.04,2.32,-36.05,-8.93
208.02,-13322.7,1,3.08,-48.4,Rest,3899.06,0.21,Low,51.27,60.06,-124.96,4679.01,-162.09,-6.72,-475.23,2044.72,-1265.36,-1867.6,-236.68,6.12,-973.44,4.79,-27.98,57.14,102.76,-20.92,2052.81,-669.21,3827.25,6,74.63,-4.36,-26.11,-8.93
197.94,-10102.9,5,4.16,40.03,Rest,4882.32,7.65,Very low,67.29,51.15,-210.4,4249.74,27.6,-11.01,6172.48,1209.36,-1832.6,-3231.98,-15.94,0.81,-41.26,5.13,-32.71,0.06,120.39,-31.36,-7919.31,-40.23,6164.1,3,50.6,-8.28,-37.48,-8.93
102.3,-11124.24,5,2.42,-440.42,USA,5816.88,24.93,Very low,69.78,60.72,-225.96,4392.93,16.5,-4.87,1517.68,1789.78,-1777.04,-1435.82,557.94,-7.32,880.14,6.22,-28.79,0.44,84.91,-23.54,10367.07,-321.3,4766.52,6,82.77,-7.22,6.88,4.83
236.25,-12876.57,6,3.98,-624.21,UK,3791.8,32.37,Very low,57.45,59.52,-213.8,5418.06,-195.48,-11.34,7886.75,2360.76,-1090.9,-2120.32,1225.88,-7.8,-713.56,8.43,-23.84,0.34,110.07,-40.22,11509.92,175.4,4109.91,6,73.73,-0.46,-59.7,-8.93
91.35,-12162.3,3,3.64,-44.09,Rest,4274.52,10.92,Medium,74.22,68.19,-227.34,7475.19,-94.38,-12.03,-552.67,1329.34,-1259.02,-1711.22,883.28,7.77,-1059.48,6.96,-27.32,0.42,141.81,-20.84,822.24,-166.33,4766.52,7,54.56,-20.7,-50.22,-8.93
298.08,-11940.73,5,3.96,123.11,Rest,4787.18,17.79,High,67.59,72.18,-203.6,7445.43,-89.7,-12.45,6457.9,2281.48,-1520.96,-1497.42,244.98,-16.8,-654.14,5.82,-24.58,4.02,95.06,-23.92,2344.05,-963.81,5230.89,2,50.84,-4.62,-52.29,517.57
333.51,-8159.38,5,11.14,-425.61,UK,4828.32,24.06,Medium,87.72,56.37,-221.4,2940.03,61.68,-6.99,-451.55,1844.82,-2013.04,-910.72,1376.66,-10.35,-1045.7,2.51,-31.49,512.96,133.68,-21.5,-2824.95,-953.18,4613.79,5,63.89,-5.04,-41.8,439.12
353.16,-10950.53,2,22.94,-587.87,Europe,3959.7,19.17,Low,65.43,75.15,-89.5,6037.71,-147.81,-7.83,5217.38,2353.18,-1496.46,-1749.56,1087.52,-0.12,24.64,2.05,-32.59,719.5,92.39,-18.78,-1804.65,-792.01,3723.9,5,52.14,-3.72,-116.75,17.55
290.4,-15038.29,1,5.54,62.52,Rest,5817.1,-1.02,Medium,76.74,52.68,-243.56,4705.95,-263.49,-5.75,4155.06,1885.28,-1668.9,-1514.22,893.72,4.17,-981.84,8.12,-32.72,0.64,124.53,-32.68,750.51,-295.23,4749.57,4,47.85,-5.88,-71.21,-8.93
149.19,-11421.06,3,3.42,-567.57,Rest,5068.64,24.54,Medium,50.88,44.43,-342.06,4530.51,-157.44,-16.11,1654.75,2366.46,-905.72,-1017.16,1240.72,1.23,293.4,5.2,-27.09,2.66,144.72,-17.5,7111.92,-469.03,3949.47,4,53.16,13.08,-47.26,251.81
239.52,-8633.71,6,5.82,-166.54,Rest,4019.86,6.24,High,72.48,66.42,-162.9,3654.78,-87.12,-4.02,2537.63,1894.36,-2442.46,-2007.84,1503.16,-27.21,604.52,2.01,-29.47,0.2,119.27,-25.44,6201.21,-545.02,2474.97,7,3.62,-1.86,-13.64,113.79
323.88,-5652.99,4,18.86,-201.78,Europe,4029.02,5.94,Very low,72.57,60.75,-194.88,4658.07,-134.25,-14.58,-1775.51,1061.6,-641.74,-1316.2,-417.14,-14.79,-551.14,2.36,-30.48,0,117.86,-64.48,-2169,-768.13,6248.52,7,53.55,2.34,-34.63,-8.93
465.51,-9489.03,5,1.66,99.01,Europe,3939.46,23.61,Medium,58.41,65.73,-232.28,4706.88,-51.78,-6.5,4220.88,2392.84,-1359.1,-2031.96,1150.74,17.31,255.38,2.19,-30.99,3.02,156.26,-24.4,5744.01,-290.95,4694.91,3,48.28,5.58,-72.5,201.96
302.25,-10224.64,4,22.22,-332.23,USA,4256.02,23.25,Very low,136.71,72.75,-231.48,3450.51,-76.74,-9.83,1601.1,2061.96,-1247.58,-1835.66,1053,2.19,-69.16,6.97,-28.22,0.12,147.64,-36.74,-201.81,107.24,3578.7,3,63.82,-0.96,-90.75,29.51
374.7,-5253.27,4,11.04,-254.81,Europe,4114.2,18.45,Medium,63.42,77.58,-125.5,4367.82,22.08,-4.67,319.64,1376.8,-1757.86,-1655,176.34,6.21,65.46,0.44,-29.48,0.06,92.35,-27.44,-6834.09,-203.95,3824.49,5,33.53,-10.04,-41.64,113.63
277.2,-7573.87,2,4.48,-435.99,USA,4561.98,23.85,Medium,63.48,48.21,-140.12,4689.63,-143.7,-11.05,2009.91,2307,-1848.74,-1630.98,1752.04,0.06,-324.16,7.01,-22.69,4.28,113.52,-17.52,3829.32,-504.12,5128.17,6,84.23,14.74,-42.25,-8.93
526.83,-9395.23,5,2.88,-233.83,UK,5098.2,16.05,Very high,83.49,66.3,-65.8,4811.61,-140.61,-2.4,3243.51,2303.24,-1986.04,-2308.04,1698.52,-3.09,-567.16,2.3,-27.94,4.78,97.22,-20.6,11297.43,-603.06,6304.68,5,55.61,2.94,-58.42,451.34
365.73,-11426.81,6,5.82,-507.41,Rest,4123.96,14.4,Low,57.12,60.51,-191.84,4858.65,-103.38,-3.27,3981.28,1832.18,-2323.6,-2440.82,-119.48,-0.87,-428.14,3.02,-34.42,2.76,115.04,-9.94,2666.58,-124.09,3888.96,4,71.46,-15.3,-62.89,348.29
303.33,-15273.6,6,8.22,-149.95,Europe,4345.76,12.51,Very high,66.15,64.02,-345.36,3491.22,-122.61,-14.32,1918.31,1417.2,-1464.62,-1480.3,782.8,14.7,141.46,6.81,-18.83,4.38,102.52,-31.08,-7665.15,-57.08,7680.72,2,79.38,-4.68,-68.59,158.09
129.45,-8532.52,3,5.72,-2,Europe,4713.44,11.94,High,66.66,66.24,-110.42,5654.16,61.8,-2.49,2208.6,2122,-2225.34,-2457.14,1250.62,-1.02,338.68,3.22,-38.33,52.4,177.63,-26.22,-19970.04,-207.08,4152.81,2,77.69,-4.68,-47.87,101.53
335.61,-5414.9,5,13.06,-308.71,USA,917.48,30.66,Very high,72.24,59.67,-193.62,4140.36,-50.16,-8.45,2003.08,3210.58,-1333.02,-1284.26,1162.56,-0.57,-393.34,3.5,-24.64,0.96,160,-18.1,4856.04,242.77,3567.93,7,16.13,-5.74,-46.47,281.43
271.5,-10245.49,3,3.56,-80.64,Rest,5115,7.44,Low,65.07,52.59,-175.18,4368.39,-115.14,-7.17,4493.35,2315.88,-2082.04,-2529.84,523.2,1.56,-702.4,5.92,-41.49,0.08,98.43,-11.48,-12406.74,-168.37,2993.82,2,74.86,-5.18,-80.43,-8.93
376.65,-6327.37,3,10.58,-606.75,Europe,4088.02,33.24,Very low,65.49,70.32,-108.8,6623.73,-10.26,-3.99,-5419.41,1847.22,-1482.08,-2226.64,923.82,-15.42,-1368.3,3.9,-29.86,45.02,122.42,-18.14,11411.61,-553.96,4077.33,1,91.24,-0.24,-58.48,188.22
203.52,-10720.52,3,7.94,-667.54,UK,4780.52,12.3,Low,62.49,79.56,-142.76,3897.69,-170.43,-6.39,-1573.09,2137.14,-1603.16,-2766.24,452.26,-31.98,-1308.84,5.25,-34.86,49.5,110.28,-24.16,-48904.32,-348.74,4845.93,3,52.17,-13.62,-68.91,-8.93
31.62,-10737.05,3,8.94,-362.1,USA,4474.52,13.95,High,56.85,67.47,-69.06,6332.34,-150.21,-9.84,5416.53,1741.02,-1343.2,-891.1,964.3,19.74,-505.84,6.08,-28.61,0.06,184.42,-15.76,-4056.93,6.3,3726.54,2,32.29,-3.44,-55.13,107.25
428.07,-9501.63,5,7.4,-260.3,UK,5305.72,8.67,Low,69.18,40.71,-144.42,4282.2,-119.7,-10.33,3135.17,2581.98,-2159.32,-2202.8,457.26,-4.35,-483.84,2.59,-30.09,0,-4.55,-27.36,-15136.41,-528.03,3695.58,3,122.67,-2.88,-43.56,160.22
442.5,-9475.16,4,7.68,-419.88,USA,4618.56,8.34,High,76.05,82.23,-192.02,4747.44,-82.95,-8.7,3862.2,1514.92,-2443.62,-2708.3,1050.6,8.22,-711.24,5.34,-28.35,23.18,100.28,-18.06,568.53,-340.49,3113.19,1,78.8,-6.64,-22.44,168.08
243.09,-14758.76,5,13.28,-179.53,Rest,5228.54,17.04,Very high,69.18,60.57,-224.34,4441.74,-32.7,-11.42,5057.62,2358.64,-2152.7,-1916.16,183.82,10.56,-664.7,3.2,-26.45,4.52,181.33,-24.42,2693.4,-596.74,5362.98,2,46.16,3.36,-6.15,728.45
302.64,-12251.52,5,2.44,-277.1,USA,6563.66,17.04,High,73.8,62.73,-110.4,5274.54,-89.82,-9.28,8034.03,3073.78,-2097.94,-1379.62,2039.26,10.77,-1119.42,4.31,-29.13,0.02,123.83,-14.32,3720.75,-628.32,3877.89,5,20.08,-20.54,-73.14,155.06
415.56,-8416.85,2,9.72,-210.54,Europe,4584.06,14.61,Very low,44.82,53.49,-205.64,5112.6,39.39,-1.78,-1705.37,792.96,-1820.94,-2095.48,753.48,-5.76,-850.66,3.12,-37.1,10.4,97.16,-22.46,-6342.96,15.67,6392.91,6,19.19,4.8,-65.58,-8.93
423.81,-13562.58,4,11.86,-489.24,USA,4695.5,8.73,Medium,63.57,97.47,-232.78,6800.67,-64.08,-12.4,5331.88,155.32,-1168.94,-1785.7,676.46,13.14,-336.28,2.02,-31.12,6.02,149.69,-20.94,13221.87,-8.96,3623.52,4,81.92,-1.68,-70.94,140.91
273.81,-5755.92,3,3.96,-152.71,Europe,4143.86,-1.23,Medium,70.77,39.54,-268.16,3268.86,-1.8,-10.56,4540.17,935.08,-637.9,-1657.36,177.34,0.3,96.46,1.15,-27.75,102.64,63.25,-38.2,-3268.29,-513.49,4074.99,4,60.79,-4.92,-72.75,-8.69
501.69,-7537.7,2,6.7,-104.62,UK,3668.32,15.81,Low,75.36,56.13,-259.34,4553.46,31.14,-10.78,1513.2,1339.88,-1671.7,-2446.2,1479.74,-5.4,-1135.5,8.69,-29.99,0.92,91.19,-21.22,3295.95,-553,4210.95,2,44.74,-10.74,-8.6,-8.93
205.77,-2548.72,6,4.96,-365.64,Europe,4635.72,23.1,High,62.64,66.48,-193.84,3448.08,-70.44,-13.29,2094.41,2353.36,-1375.96,-2055.48,1034.14,-13.8,307.62,6.14,-30.89,0.02,82.27,-34.38,6760.14,-118.11,-242.1,4,14.17,-4.08,-66.73,90.59
396.54,-6956,4,5.56,-465.28,Rest,4145.78,22.74,Low,74.55,62.7,-257.08,4636.02,-10.08,-7.85,5425.78,2072.42,-805.22,-1176.28,628.2,-4.29,-281.1,0.84,-50.28,8.62,81.46,-25.2,-3784.98,-276.04,1169.73,5,65.12,-4.4,-17.38,367.04
136.35,-11221.71,2,4.92,118.04,Europe,3543.96,7.44,Very low,64.59,46.05,-252.9,4902.45,-28.44,-8.44,129.62,1681.2,-1244.4,-2487.08,-75.12,17.67,-372.38,2.65,-28.63,10.16,141.46,-20.14,27258.66,-515.63,4120.23,3,52.19,-11.96,-37.71,-6.24
322.26,-8016.46,3,6.66,-961.66,UK,4787.08,25.05,Low,71.43,46.5,-148.72,4565.52,-84.51,-7.54,1286.42,1954.56,-1367.94,-1904.2,1364.98,9.84,-200.52,0.77,-30.25,2.98,141.23,-23.86,-1555.59,-348.52,5653.83,4,15.01,-59.34,-63,411.49
391.44,-12017.49,2,7,-84.45,USA,4184.9,9.06,Low,82.41,89.64,-180.44,5014.53,-221.49,-12.01,938.07,2050.54,-1188.92,-2545.46,443.86,-7.89,-388.88,2.36,-30.7,0,116.43,-30,3591.51,-530.04,5836.5,4,77.43,-5.38,-53.83,18.38
304.89,-9355.45,8,4.24,-777.81,Europe,5963.02,25.44,High,88.77,61.59,-270.82,5091.21,-13.26,-13.15,2496.98,2050.5,-1850.5,-1801.38,1125.66,1.56,182.98,3.29,-30.36,7.74,108.13,-25.8,1263.63,-447.31,4209,3,84.46,-15.78,-62.53,332.63
745.98,-11136.08,3,2.36,-441.78,UK,3848.64,5.49,Very high,65.67,56.61,-259.66,4895.01,56.94,-12.14,4834.33,1979.92,-1031.16,-2595.44,798.46,-10.56,-16.9,3.22,-28.15,2.86,93.27,-24.06,8549.28,-621.97,3021.18,4,48.42,-14.42,-82.9,103.02
237.84,-11960.58,5,4.46,-341.99,Rest,4667.2,22.5,Low,77.55,62.7,-252.94,4626.57,-67.17,-12.57,5499.47,1611.84,-1997.92,-1950.3,521.06,-17.4,-947.66,1.38,-29.45,11.46,117.02,-25.94,5614.89,-244.73,4658.25,4,37.54,-15.42,-35.34,615.4
313.47,-11682.37,2,4.2,-594.48,UK,3128.54,-4.53,Very high,65.91,71.25,-127.7,6515.43,-49.47,-11.23,857.39,1461.52,-1464.12,-1334.92,218.24,11.4,-332.08,2.31,-24.44,0,0.31,-25.74,-4919.79,-26.15,4548.75,5,34.83,-6.04,-19.35,-8.93
362.73,-6733.21,3,5.3,-1059.68,Rest,3546.02,2.34,Very low,65.55,49.86,-130.02,4090.44,-180.03,-5.81,2979.19,2016.66,-1144.1,-1693.92,1545.8,1.11,-363.68,4.72,-30.02,0,85.63,-19.06,-9926.7,-223.92,5382.39,5,53.8,-3.74,-38.8,-8.93
309.21,-2898.71,4,28.88,65.95,Europe,5724.5,14.7,High,43.53,72.18,-113.32,5993.22,16.62,-3.43,4765.63,1492.6,-1641.92,-2732.02,1861.46,-14.04,-969.26,0.52,-30.05,0.02,69.59,-26.34,9010.05,-245.99,4841.13,5,32.79,3.16,-38.47,80.6
547.2,-8142.94,3,7.24,-183.15,UK,4110.8,20.88,High,74.76,69.54,-241.8,4574.34,-211.17,-6.98,3362.34,2284.9,-967.06,-1717.08,188.08,35.7,-52,0.62,-36.39,2.34,136.47,-26.26,19401.03,-102.93,4386.27,1,26.02,-3.5,-58.53,556.45
276.15,-16185.56,5,3.42,202.42,USA,4482.96,25.47,Medium,63.54,53.52,-279.1,3908.91,-213.69,-4.96,-3710.2,1781.7,-2737.04,-1299.86,260.76,-13.77,-917.24,1.95,-32.34,1169.72,127.96,-14.9,2501.58,-607.5,3038.31,0,33.16,-8.34,-77.15,636.3
341.97,-9907.04,2,24.62,-113.54,Rest,4869.38,15.21,Very high,57.21,69.78,-179.68,4200.63,-61.35,-6.32,3076.31,2375.04,-966.3,-2347,1014.48,1.2,-1146.62,2.7,-22.86,0.98,110.74,-23.18,-9947.61,-889.62,2832.39,4,72.37,-10.8,-9.37,336.74
