F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
7664.06,1,3770.35,-16.12,10.8573,0,18.621,-12.2868,0.72,-1762.68,3784.45,-9.57,12.8478,-40.779,-3249.56,-89296.96,-7.143726,6615.04,3.6195,,True
8629.94,1,3945.78,-9.6148,10.6653,0,11.6469,-10.91367,1.72,-3164.68,6191.93,-7.4128,15.435,-37.036,-3020.06,-89225.422,-7.28862,6942.84,4.935,,True
8501.28,1,3889.19,-12.354,14.079,1,17.256,-14.076,0.72,-1686.88,4708.33,-8.0452,12.9744,-47.41,-3049,-89247.004,-7.17129,6656.02,6.312,34.26,True
8641.12,1,3767.62,-15.284,10.4844,0,11.2374,-12.8511,1.72,-1731.98,3762.66,-9.8,19.929,-55.08,-2281.3,-89078.34,-9.6231,7672.84,1.86132,,True
10582.86,0,3887.87,-10.724,12.2115,1,16.581,-13.95,0.72,-1494.39,3771,-10.58,13.047,-37.086,-3005.22,-89294.3,-7.40688,6585.64,8.184,29.12,True
9722.46,1,3616.98,-9.9486,9.27933,0,13.824,-13.956,1.72,-1553.26,3713.83,-9.0114,13.1571,-39.186,-3092.334,-89242.098,-8.6439,7214.24,7.431,32.1,True
7884.86,0,3826.17,-10.646,9.5175,1,10.602,-11.085,0.72,-489.58,4545.03,-7.4842,14.8812,-46.17,-3170.92,-89238.306,-8.0127,2025.04,4.1361,30.08,True
8110.66,1,3857.79,-15.122,11.6427,1,11.5959,-15.183,0.72,-1483.9903,4445.13,-8.3664,13.3161,-37.753,-3035.52,-89194.18,-11.052,7689.84,5.838,30.32,False
8787.86,0,3576.08,-9.3622,10.6353,1,11.9145,-17.466,1.72,-1552.49,3709.16,-8.5988,14.0709,-85.79,-3105.8594,-89251.188,-8.3661,5568.24,8.751,,True
8855.26,0,3941.28,-9.3104,9.8139,1,14.928,-11.6919,1.72,-1441.54,3774.54,-9.724,15.2259,-38.72,-2925.08,-89206.76,-7.6341,6583.44,4.3326,31.6,False
8271.42,1,3939.18,-11.14,9.6186,1,20.979,-12.057,1.72,-1284.88,5348.93,-7.4902,14.0274,-43.216,-3055.16,-89228.206,-7.37145,6661.56,8.919,28.14,False
8583.72,0,3784.54,-12.196,11.6163,0,10.8171,-11.178,0.72,-1827.08,4034.13,-7.414,18.96,-41.001,-3032.86,-89194.5,-10.467,5490.44,4.707,,False
9248.26,0,3967.18,-10.34,9.6534,0,12.0057,-14.658,1.72,-1582.59,4242.93,-8.43,14.0448,-44.845,-2826.5,-89232.894,-7.17144,7430.84,3.8235,30.38,False
8425.08,1,3607.88,-9.2814,10.1871,1,13.716,-12.8808,1.72,-1679.98,3851.33,-9.0018,18.141,-50.1,-3319.3,-89255.41,-7.6413,6596.44,2.4531,,True
8326.94,1,3818.54,-15.116,10.2666,1,12.8247,-14.877,1.72,-1622.58,4072.83,-9.26,16.338,-39.007,-3142.26,-89156.64,-10.158,6777.14,2.9673,,True
9106.06,0,3856.66,-9.8914,16.971,0,11.7147,-12.582,1.72,-1640.58,3750.63,-7.8968,15.309,-44.365,-2831.9,-89243.374,-7.31658,5452.64,3.8508,32.1,True
9032.06,1,4002.28,-10.3224,10.1313,0,10.40763,-11.2698,0.72,-2387.18,4144.53,-8.9968,14.6169,-44.691,-3059.78,-89257.76,-9.7086,9991.04,15.294,,False
8225.46,1,3919.88,-11.422,9.6297,0,16.47,-11.4141,0.72,-1414.39,5227.93,-7.7294,15.2244,-42.71,-3072.12,-89248.276,-7.21653,6978.32,7.635,,False
9335.66,0,3577.28,-9.0856,10.0188,1,10.9152,-18.081,1.72,-1535.55,3712.41,-13.532,14.2803,-42.605,-3040.62,-89183.62,-10.308,4503.04,6.996,,True
8587.4,0,3677.48,-9.2726,13.053,0,11.568,-18.63,1.72,-1491.117,3686.47,-7.5852,15.339,-48.2,-3073.8,-89393.22,-7.725,5643.44,4.686,,True
12950.86,1,3874.18,-11.966,12.726,1,15.393,-12.6687,1.72,-1461.84,3823,-9.286,12.56868,-48.34,-3036.52,-89241.388,-8.1108,6462.04,11.025,27.72,False
8025.06,0,4204.58,-8.861,18.789,0,13.698,-14.481,1.72,-1569.29,4393.43,-8.236,14.3769,-50.73,-3138.24,-89265.74,-10.0698,6779.8,3.9177,,False
8316.36,0,3564.08,-8.7476,11.9457,0,13.1697,-14.148,0.72,-1431.7,3957.03,-8.3194,15.585,-39.7,-3191.7,-89261.42,-12.459,7226.04,2.5977,,False
8410.92,0,3915.58,-11.02,12.525,1,10.33377,-11.4507,0.72,-2209.78,4581.93,-8.0502,18.405,-57.25,-2941.26,-89099.92,-7.27023,-4320.96,2.7216,29.14,True
8254.52,1,4374.28,-9.2004,11.0553,0,11.3916,-11.4768,1.72,-1346.98,3971.23,-9.704,14.0421,-52.94,-3040.34,-89355.14,-9.9858,5176.24,7.338,31.6,False
9968.46,1,4242.08,-9.6334,9.29532,0,12.3492,-11.787,0.72,-1857.88,4882.93,-7.9134,13.4931,-38.353,-2712.7,-89245.656,-8.949,7496.04,3.8859,29.06,False
8643.76,0,3915.98,-9.766,10.4574,0,16.956,-13.4694,1.72,-1608.58,4111.63,-7.9808,18.471,-40.726,-2493.1,-89187.32,-9.0156,6660.82,2.3925,34.74,True
8068.66,0,3695.98,-11.158,16.596,0,14.376,-10.9854,0.72,-3905.68,3813,-9.806,13.1484,-36.8971,-3531.7,-89297.92,-7.23756,6563.64,2.5143,,True
18056.86,1,3870.9,-12.112,13.824,0,11.4969,-11.9415,0.72,-1899.48,7097.93,-7.35976,12.44172,-40.343,-2754.7,-89130.34,-8.1207,7172.24,3.3807,,False
8116.66,0,3840.47,-14.002,12.537,1,15.759,-13.5453,1.72,-1584.18,3869.13,-12.698,13.3728,-43.062,-3078.54,-89212.44,-7.158399,6992.68,5.79,,True
8440.782,0,3840.82,-12.808,9.45987,1,13.224,-12.2124,0.72,-1532.71,3941.43,-9.0188,13.9188,-49.69,-1896.7,-89365.12,-7.8741,6327.44,1.85637,,True
9745.66,1,3486.58,-9.475,11.9001,1,12.591,-11.6448,1.72,-1312.08,2792.43,-7.7448,13.3755,-55.04,-3071.5,-89150.52,-11.4,6117.64,7.782,,False
8647.26,1,3615.28,-9.651,11.6763,0,15.369,-14.964,1.72,-1458.56,3534.03,-7.9704,17.715,-39.712,-2992.68,-89263.58,-8.2407,6968.86,3.1149,,False
7650.66,1,3837.52,-11.542,10.2099,1,10.4775,-14.181,1.72,-1385.04,4016.63,-7.9858,13.3131,-41.204,-3090.89,-89230.854,-7.494,9.04,4.2441,,False
9033.66,1,3752.75,-11.074,10.8264,0,18.327,-17.502,0.72,-1475.557,3537.33,-8.074,14.0463,-57.39,-3076.82,-89240.362,-7.23285,6656.62,10.44,,True
8280.38,0,3594.38,-10.0714,9.43362,0,15.57,-13.782,0.72,-1495.45,3464.33,-7.8646,15.2133,-50,-3427.1,-89191.44,-8.9292,6449.44,2.6529,,True
8794.86,1,3865.23,-13.834,12.687,1,14.199,-14.967,1.72,-1579.65,3959.83,-10.112,16.329,-64.05,-754.9,-89223.958,-7.150182,7020.28,1.94574,,True
8801.46,0,4020.98,-9.7108,9.30186,1,13.1262,-11.4288,1.72,-1482.062,3869.43,-8.7446,16.203,-47.5,-2619.9,-88595.1,-11.88,6148.44,3.0201,,False
9035.86,1,3679.28,-10.249,10.8456,1,10.6773,-11.1384,1.72,-2936.68,3952.53,-7.6312,14.7624,-36.1668,-3052.72,-89129.78,-8.3415,7841.84,4.2312,,True
12710.86,0,3900.08,-12.854,9.6105,0,10.5198,-18.735,0.72,-1542.49,3862.93,-12.438,12.867,-43.283,-1999.3,-89185.02,-8.0271,11519.04,2.5491,,False
8179.06,1,3470.48,-9.2074,10.0455,0,13.995,-12.8187,0.72,-1401.08,3770.93,-9.626,14.5719,-64.18,-3157.98,-89116.24,-8.9067,7180.64,6.777,,False
8650.98,1,3875.19,-13.948,12.534,0,11.8476,-12.873,0.72,-1541.47,4942.93,-7.698,17.736,-36.9379,-1638.7,-89239.816,-7.566,6803.24,2.1267,28.8,False
8558.92,1,3524.08,-9.7554,10.9878,1,13.971,-15.687,0.72,-1409.96,2153.93,-7.425,14.8032,-48.66,-3168.44,-89141.68,-8.2164,6787.18,3.1494,,False
8328.08,0,3752.11,-13.368,9.5466,1,12.6888,-11.4795,1.72,-2118.38,4139.83,-7.8764,15.699,-51.89,-3526.3,-89170.94,-7.9656,6917.1,2.421,32.16,True
6523.06,1,3887.15,-12.366,10.1565,0,15.573,-11.91,1.72,-1447.18,6912.93,-7.447,12.53457,-48.57,-2382.1,-89192.7,-7.7244,7083.24,1.983,29.2,False
8967.86,1,7128.78,-8.5693,15.135,1,16.827,-14.52,1.72,-1608.18,4024.53,-9.125,14.0574,-37.416,-2910.42,-89221.774,-7.19754,6517.84,4.4061,,True
8927.46,0,3986.88,-10.71,14.622,1,12.4329,-11.6985,0.72,-2035.58,5133.93,-7.662,14.7924,-56.07,-2630.9,-89349.04,-7.41942,6072.24,3.006,31.68,True
6632.66,1,3719.53,-12.168,9.7686,1,12.951,-13.0974,0.72,-1729.78,5386.93,-7.31492,12.6249,-44.878,-3204.92,-89216.16,-7.626,6504.04,5.91,,True
8479.72,0,3717.16,-10.0068,15.921,0,10.40826,-11.0016,1.72,-2904.68,3862.53,-9.65,18.627,-64.08,-3121.696,-89473.9,-7.43112,9651.04,6.273,,False
9681.46,1,3959.08,-9.6954,9.49503,0,11.7912,-11.2494,1.72,-1540.37,3914.13,-8.213,13.3371,-66.11,-2917.16,-89203.34,-10.161,5932.84,4.6584,,False
8491.56,1,4295.78,-9.0082,9.7065,1,12.1374,-13.125,0.72,-1718.38,4746.93,-7.9638,14.9517,-36.999,-3077.52,-89200.34,-7.656,6867,9.639,34.24,True
8714.46,0,2950.58,-8.666,20.622,1,17.19,-11.8521,0.72,-1835.08,3813.32,-7.9028,16.749,-39.871,-3046.8,-89234.536,-7.2609,6871.58,4.1166,29.06,False
10323.26,0,4113.88,-8.8016,11.4105,1,11.6157,-14.511,0.72,-1562.18,3841.43,-8.5838,13.0527,-46.96,-2837.3,-89218.204,-9.708,5642.64,3.4743,35.8,True
8275.2,1,3991.38,-9.418,14.571,1,14.271,-18.021,0.72,-1455.73,4359.13,-7.627,13.239,-38.566,-3044.16,-89298.04,-7.157517,6387.84,5.418,29.32,False
8577.08,1,3318.08,-8.9746,12.507,0,13.569,-16.173,0.72,-1562.63,3583.53,-8.087,20.604,-41.938,-3084.82,-89280.12,-7.3413,6325.64,4.812,30.98,True
8382.62,1,3915.88,-10.0818,9.6093,1,13.569,-12.0054,0.72,-1343.88,3933.03,-9.586,18.087,-38.036,-3071.5,-89198.76,-11.616,6948.18,6.156,30.3,False
10912.86,1,5906.78,-8.65872,13.404,0,14.664,-17.478,1.72,-1484.4104,4002.23,-9.362,12.9741,-49.08,-2927.34,-89140.6,-7.34241,7222.64,6.291,,False
10982.86,0,4039.48,-10.271,9.669,0,12.8568,-11.0751,0.72,-1861.18,4071.63,-9.1364,12.9087,-37.714,-2761.7,-89197,-7.18155,7365.84,3.9591,30.7,False
10812.86,0,3709.32,-8.8528,9.51246,1,17.787,-16.539,1.72,-1561.03,4029.33,-8.4178,12.48747,-48.09,-3074.94,-89242.366,-7.140705,6927.28,4.4358,,True
6862.46,1,1079.78,-8.60936,11.649,1,19.461,-12.6144,0.72,-1718.28,3914.73,-8.5404,13.0233,-37.421,-3400.3,-89289.18,-7.1406744,6973.54,3.8682,,True
8189.46,1,3877.25,-10.89,13.374,0,17.664,-15.501,1.72,-1527.91,4127.83,-8.9092,14.4987,-45.285,-3085.41,-89180.4,-8.4585,6910.86,3.6219,36.82,True
7861.06,0,4283.48,-9.138,14.397,1,22.176,-11.1729,1.72,-868.18,4036.53,-8.6374,13.2417,-40.513,-3003.04,-89267.7,-7.5198,6670.16,4.2732,30.2,False
11814.86,1,4097.48,-8.61998,9.39126,1,10.6152,-11.772,0.72,-2122.28,4277.93,-7.6706,12.6822,-64.87,-2489.1,-89227.904,-7.147047,3043.04,2.2404,,True
8914.86,1,3632.48,-9.8194,9.52584,0,13.209,-14.673,0.72,-1467.83,3095.63,-7.8326,15.969,-55.05,-2774.9,-88980.5,-15.489,6303.44,2.6754,30.42,True
8615.28,1,3650.78,-9.2816,13.074,0,10.5213,-23.535,1.72,-1539.79,3783.66,-10.396,21.303,-63.28,-3086.714,-89220.75,-10.317,5788.64,13.266,,True
9710.46,1,3756.78,-11.932,16.068,0,13.566,-17.877,0.72,-1548.78,3698.39,-11.488,14.1153,-60.79,-2036.1,-89197.6,-8.577,6507.84,2.1015,,True
10588.86,1,4586.98,-8.6788,15.45,0,13.821,-14.265,1.72,-1444.56,4374.53,-7.578,12.9555,-41.353,-3051.22,-89255.55,-9.3498,7148.04,12.513,,False
11248.86,1,3885.96,-12.908,12.936,0,11.9169,-12.7092,0.72,-1717.98,4173.93,-9.0006,12.55041,-39.812,-2533.3,-89252.85,-8.5248,7118.24,2.5407,,False
8647.62,0,3966.08,-9.2086,10.1151,0,11.1966,-10.83819,0.72,-1175.98,3822.85,-9.534,17.235,-117.81,-2610.1,-89214.38,-7.521,6596.24,2.5239,30.74,False
4242.86,0,3726.33,-13.654,13.884,1,14.223,-12.5778,0.72,-1721.28,4439.13,-7.566,12.6138,-52.45,-3707.9,-89255.916,-12.657,6952.7,2.8011,,False
8036.06,1,2727.78,-8.878,10.9422,1,16.026,-14.43,1.72,-1540.36,3717.34,-9.714,14.2308,-61.16,-6224.9,-88932.1,-7.1418729,6845.472,1.85154,25.7,False
8459.096,1,3640.78,-10.3992,12.357,1,10.6188,-11.2497,0.72,-1022.58,915.93,-7.30444,18.624,-41.475,-3179.12,-89249.6,-7.4727,4085.04,3.2676,,False
8432.14,1,4689.38,-8.61014,9.7236,0,11.0331,-13.5555,0.72,-1467.19,4286.73,-7.9498,18.96,-41.831,-2250.5,-89193.68,-7.15614,7070.44,1.85349,,False
10478.86,0,5582.78,-8.63334,10.134,0,10.8414,-13.722,1.72,-1707.18,4140.63,-8.8618,12.56214,-40.4,-3042.3,-89260.36,-7.147038,4595.04,7.503,,True
8652.66,0,3667.38,-10.492,10.2456,0,13.698,-14.262,1.72,-1673.28,3997.63,-7.7326,12.813,-65.81,-3169.76,-89205.94,-8.5005,6575.24,5.226,,True
7592.06,0,3928.18,-11.28,12.0243,1,15.561,-14.172,0.72,-1586.38,4802.93,-8.0936,13.1931,-43.76,-3044.02,-89406.76,-7.29039,6929.94,3.4029,30,False
8900.86,0,3713.67,-11.074,9.244119,0,11.5092,-17.199,0.72,-1559.02,3701.75,-12.602,15.828,-42.042,-2875.9,-89203.38,-7.23777,5402.84,2.6085,,True
8291.88,0,3752.36,-12.512,10.9119,0,10.5417,-13.6761,1.72,-1613.98,3942.03,-7.973,17.478,-68.49,-3278.06,-89288.54,-7.758,665.04,3.6288,32.9,True
8433.978,0,3836.09,-14.134,9.29436,1,11.0187,-15.531,1.72,-1480.456,3782.78,-14.798,16.671,-45.787,-2988.66,-89270.92,-11.802,4693.04,3.7335,,False
8617.96,0,4210.18,-9.402,14.856,0,11.3484,-16.521,0.72,-1494.39,3903.93,-10.256,14.3664,-41.127,-3033.22,-89269.66,-7.23447,5159.84,8.322,33.02,True
8498.02,0,3890.56,-9.2844,9.42156,1,16.584,-24.189,0.72,-1513.4,4280.23,-7.7706,13.5813,-36.3984,-3075.08,-89262.62,-7.33422,6456.44,4.989,,False
8367.58,0,4149.38,-8.9908,9.8793,1,11.271,-14.793,1.72,-1618.88,3857.03,-12.156,15.351,-40.388,-3067.56,-89250.196,-7.42287,5347.04,3.711,,True
8273.56,0,2749.78,-8.686,11.6397,1,14.958,-15.477,0.72,-1639.38,3832.6,-10.632,16.251,-50.49,-3484.5,-89049.9,-13.305,6676.88,2.7882,,True
8357.1,1,3682.18,-10.24,10.197,0,15.162,-11.3928,1.72,-2109.38,3821.53,-8.542,14.649,-41.365,-3163.08,-89233.952,-7.42788,6520.04,5.436,,True
8633.1,0,3839.25,-12.684,10.1325,1,12.4656,-20.235,0.72,-1519.28,3891.73,-9.69,15.468,-50.52,-2037.1,-89181.5,-8.9676,6224.84,1.96479,,True
8327.62,1,3298.78,-8.69,13.05,0,12.5871,-12.3702,0.72,-1462.03,3902.53,-8.5622,16.842,-40.233,-3376.3,-89192.72,-7.164399,7064.44,2.2935,,False
8936.86,0,4121.48,-9.1882,10.1976,0,10.6146,-11.64,0.72,-1429.29,3989.13,-7.686,15.396,-40.602,-2544.1,-89294.12,-7.7214,2399.04,2.8527,28.86,True
8950.66,1,3742,-10.38,11.439,0,11.8194,-12.4617,1.72,-1420.26,3677.76,-7.6744,14.3844,-40.539,-2815.9,-89213.8,-7.8009,7287.64,2.5425,30.66,False
9537.26,0,3866.69,-10.3336,15.294,1,10.6455,-11.052,1.72,-2560.68,4441.73,-7.8182,13.0158,-72.2,-3008.14,-89449.1,-8.6097,7026.88,4.797,,True
9135.26,0,3485.48,-8.953,13.695,1,13.1553,-18.3,0.72,-1527.8,3733.018,-8.4202,13.1754,-40.274,-3078.7,-89126.06,-7.21761,6273.24,3.6621,31.54,True
6098.86,0,3856.27,-10.984,11.6247,1,11.2194,-15.042,0.72,-1640.88,4183.03,-8.6356,12.4653,-48.42,-3110.368,-89217.652,-14.226,5297.24,6.84,31.12,True
9227.86,1,3871.22,-13.858,9.5919,0,11.2512,-13.275,1.72,-1641.18,4755.93,-7.7994,15.0399,-37.364,-518.9,-89199.68,-8.2701,7949.24,2.0028,,True
8293.24,1,3915.38,-10.624,10.4847,0,13.932,-10.91451,1.72,-1430.52,3922.93,-10.682,13.2336,-36.6248,-3029.12,-89303.66,-10.794,7243.84,4.6266,28.92,False
11688.86,1,3807.088,-15.844,10.3794,0,17.262,-11.4753,0.72,-1527.15,3976.03,-7.5204,12.6966,-49.62,-2515.5,-89339.76,-11.415,6753.68,2.4549,30.64,True
8239.46,1,3848.29,-12.292,9.7866,1,12.8118,-16.737,1.72,-1560.18,4818.93,-7.772,15.2235,-39.716,-3104.3048,-89303.52,-14.673,6182.04,9.942,34.06,True
8501.38,0,3711.31,-10.834,10.5879,1,11.2956,-11.7348,0.72,-1158.18,3647.72,-10.462,25.257,-60.3,-3067.08,-89246.158,-7.20042,6006.64,4.824,,True
8352.16,0,2933.78,-8.6604,9.40299,0,15.987,-16.572,1.72,-1535.9,3752.08,-10.99,14.7042,-36.349,-3246.16,-89270.12,-8.9151,6477.64,2.8626,32.46,True
7507.46,0,3882.77,-9.9008,12.924,0,14.52,-12.9267,0.72,-1695.78,3878.43,-11.754,13.7163,-36.4596,-3153.72,-89297.34,-10.191,6421.84,6.471,33.1,True
8687.06,1,3578.08,-9.453,12.0735,0,14.34,-13.4541,0.72,-1374.88,3655.1,-9.446,14.3193,-37.66,-3040.44,-89246.588,-18.057,6887.36,2.5371,,False
7767.06,0,3879.83,-9.305,9.4002,1,10.35858,-12.6321,1.72,-1301.88,3761.38,-11.758,13.0071,-42.646,-2692.5,-89103.2,-7.30173,-3526.96,1.86468,,False
8441.67,1,3642.98,-9.2374,11.0664,0,17.7,-12.6087,1.72,-1756.18,3831.08,-10.04,16.863,-38.592,-3118.586,-89286.32,-7.9149,6732.5,10.83,,True
8290.72,0,3746.32,-11.196,16.983,1,19.611,-11.4831,1.72,-1507.49,3736.327,-14.342,13.1193,-40.151,-3112.708,-89244.868,-15.246,6685.4,11.091,26.86,False
7492.06,1,3790.86,-14.86,12.873,0,14.928,-14.028,1.72,-1440.42,3982.83,-7.8636,13.2867,-37.458,-3143.8,-89265.2,-8.2089,6498.24,6.183,,False
10444.06,1,3876.91,-11.266,9.29511,0,12.0273,-10.93629,0.72,-2150.08,4422.63,-7.7812,12.7044,-70.9,-3017.7,-89269.96,-7.7352,6592.24,6.66,,False
8076.66,0,3519.28,-9.2108,10.9698,0,12.3003,-12.7197,0.72,-1767.78,3814.55,-9.94,13.0491,-48.73,-3134.76,-89170,-7.31112,6355.64,10.536,32.74,True
8294.7,0,3871.07,-11.424,9.7743,1,12.3171,-11.8605,1.72,-1429.56,4120.73,-8.7144,16.128,-54.19,-3064.98,-89253.096,-7.31355,7039.62,4.152,30.06,False
13988.86,0,3530.28,-9.1234,10.2501,1,11.4291,-10.94418,1.72,-2397.88,3694.89,-9.746,12.435,-46.7,-3058.12,-89231.598,-7.8891,5600.24,4.245,32.24,True
8407.2,0,3883.67,-10.496,11.0148,0,10.5918,-14.616,0.72,-1571.57,3937.03,-9.786,21.375,-52.4,-2911.54,-89109.22,-8.3697,2727.04,2.0085,,True
8670.66,0,3453.38,-9.5906,9.8508,0,15.618,-13.401,1.72,-1326.08,3101.33,-7.883,12.8631,-37.742,-3172.82,-90508.5,-7.6815,6713.44,3.7623,,False
8525.98,0,3929.98,-10.2576,10.56,1,10.8369,-13.719,1.72,-1501.18,3947.43,-9.0788,13.9734,-47.34,-2960.58,-89164.42,-8.232,4363.04,3.7341,31.08,False
8962.06,1,3725.33,-11.342,13.398,1,10.7271,-13.2276,1.72,-1468.9,3543.53,-9.0152,14.8593,-39.957,-3020.92,-89190.48,-16.008,3163.04,4.5813,34.84,False
8405.92,1,3797.154,-9.8692,10.2639,1,11.6829,-11.6511,1.72,-1204.38,3809.9,-10.25,16.749,-37.149,-3098.284,-89200.2,-7.24908,7415.04,9.399,27.72,False
8021.86,1,5920.78,-8.60584,10.1949,1,10.9608,-12.6708,0.72,-1467.14,3899.73,-11.602,13.4916,-47.22,-2962.48,-89226.682,-7.37157,7994.64,2.9952,,False
8827.26,0,2515.78,-8.57652,11.835,1,10.6179,-13.1316,0.72,-1788.68,3805.45,-9.1978,16.044,-53.78,-3069.1,-89228.018,-9.8811,5936.84,6.438,32.24,False
8405.56,1,3829.16,-15.764,9.9771,1,10.905,-18.141,0.72,-1515.34,4051.83,-8.7796,18.54,-56.82,-2749.7,-89198.16,-7.6401,4195.04,2.1114,32.22,True
8460.758,1,3838.05,-9.0986,12.471,1,11.2806,-13.689,0.72,-1630.68,4614.23,-7.671,16.089,-36.4955,-3098.588,-89316.92,-9.9375,6378.44,5.676,30.1,True
9382.06,0,3654.18,-9.688,13.707,0,11.9328,-15.528,0.72,-1572.93,3713.35,-9.41,13.2525,-40.719,-3069.36,-89286.64,-9.4566,5763.84,4.2468,,True
8319.08,0,3992.98,-9.3584,12.351,1,12.0705,-11.5497,1.72,-2014.98,4671.63,-7.7778,13.3341,-45.507,-3047,-89278.3,-8.6148,6015.64,3.5982,33.9,True
9560.86,1,3836.89,-16.68,15.429,1,14.829,-12.4005,1.72,-1367.68,4022.13,-7.8522,13.1889,-48.37,-2916.76,-89280.36,-10.731,6301.64,5.028,26.44,False
8878.26,0,3856.63,-10.972,9.966,1,10.45524,-13.6272,1.72,-1536.22,3739.551,-13.566,17.73,-42.854,-2643.5,-89262.68,-7.30599,2161.04,3.2907,29.8,False
